id	article	journal	year
676	Multiple Access Techniques.		2008
677	Wireless Ad Hoc Networks: Performance Analysis.		2008
678	Wireless Asynchronous Transfer Mode (ATM): Mobility Management.		2008
679	Coordinated Multi-Device Presentations: Ambient-Audio Identification.		2008
680	Mobile Computing: Context-Aware.		2008
681	Wireless Ad Hoc Networks: Power Assignment.		2008
682	Wireless Sensor Networks (WSNs): Routing.		2008
683	Spectrum Sharing.		2008
684	Cellular Systems: 2G.		2008
685	Wireless LANs (WLANs): Ad Hoc Routing Techniques.		2008
686	Multimedia Streaming.		2008
687	Content-Enriched Communication: Social Uses of Interactive TV.		2008
688	Mobile Services.		2008
689	Opportunistic Scheduling.		2008
690	Wireless Transceivers: Near-Instantaneously Adaptive.		2008
691	Authentication and Privacy.		2008
692	Mobile P2P: Data Retrieval and Caching.		2008
693	MANET: Network Mobility as a Control Primitive.		2008
694	Handoff Prioritization: Early Blocking.		2008
695	MANET: Routing Protocols.		2008
696	CDMA Networks: Microcells.		2008
697	Video Streaming: Wireless.		2008
698	Wireless Home Entertainment Center: Protocol Communications and Architecture.		2008
699	Soft Handoff.		2008
700	Vehicular Network Security.		2008
701	Mobile Security: Game Theory.		2008
702	Umts.		2008
703	Wi-Fi Walkman.		2008
704	TDMA Cellular Systems: Speech and Channel Coding.		2008
705	MANET: Selfish Behavior on Packet Forwarding.		2008
706	Digital Rights Management Metadata and Standards.		2007
707	Anonymous Peer-to-Peer Systems.		2007
708	Security Dilemmas for Canada's New Government.		2007
709	Managed Services and Changing Workplace Ethics.		2007
710	B-POS Secure Mobile Payment System.		2007
711	Argumentation with Wigmore Charts and Computing.		2007
712	Investigation Strategy for the Small Pedophiles World.		2007
713	Objective Ethics for Managing InformationTechnology.		2007
714	Information Ethics from an Islamic Perspective.		2007
715	Privacy in Data Mining Textbooks.		2007
716	Information Security Policy Research Agenda.		2007
717	Spyware.		2007
718	Secure Agent Roaming under M-Commerce.		2007
719	Electronic Signatures and Ethics.		2007
720	Barriers Facing African American Women in Technology.		2007
721	ICT Leapfrogging Policy and Development in the Third World.		2007
722	Parental Rights to Monitor Internet Usage.		2007
723	Meta View of Information Ethics.		2007
724	Classifying Articles in Information Ethics and Security.		2007
725	Hackers and Cyber Terrorists.		2007
726	Privacy and Online Data Collection.		2007
727	Personal Information Ethics.		2007
728	Educational Technology Practitioner-Research Ethics.		2007
729	The Ethical Debate Surrounding RFID.		2007
730	Formulating a Code of Cyberethics for a Municipality.		2007
731	Advertising in the Networked Environment.		2007
732	Managing the Environmental Impact of Information Technology.		2007
733	E-Health and Ensuring Quality.		2007
734	Information Security Policies for Networkable Devices.		2007
735	Ethical Behaviour in Technology-Mediated Communication.		2007
736	Computer Worms, Detection, and Defense.		2007
737	Dilemmas of Online Identity Theft.		2007
738	Mitigation of Identity Theft in the Information Age.		2007
739	Ethical Approach to Gathering Survey Data Online.		2007
740	Document Security in the Ancient World.		2007
741	Ethics of AI.		2007
742	Moral Rights in the Australian Public Sector.		2007
743	Defending against Distributed Denial of Service.		2007
744	Secure Automated Clearing House Transactions.		2007
745	Internet and Suicide.		2007
746	Interviews with Young People using Online Chat.		2007
747	Sustainable Information Society.		2007
748	IT Security Culture Transition Process.		2007
749	Universal Internet Access under an Ethical Lens.		2007
750	Access Control for Healthcare.		2007
751	Protection of Mobile Agent Data.		2007
752	Ethical Erosion at Enron.		2007
753	DRM Practices in the E-Publication Industry.		2007
754	Content Filtering Methods for Internet Pornography.		2007
755	Ethical Usability Testing with Children.		2007
756	Tools for Representing and Processing Narratives.		2007
757	Pharming Attack Designs.		2007
758	Internet Research Ethics Questions and Considerations.		2007
759	Ethics in the Security of Organizational Information Systems.		2007
760	Security Model for Educational Satellite Networks.		2007
761	Intrusion Detection and Information Security Audits.		2007
762	Fair Use.		2007
763	Data Security and Chase.		2007
764	Privacy and Access to Electronic Health Records.		2007
765	Port Scans.		2007
766	Cyber-Terrorism in Australia.		2007
767	Security Protection for Critical Infrastructure.		2007
768	Rule-Based Policies for Secured Defense Meetings.		2007
769	3D Avatars and Collaborative Virtual Environments.		2007
770	Conflicting Value of Digital Music Piracy.		2007
771	Measuring Ethical Reasoning of IT Professionals and Students.		2007
772	Ethics and Security under the Sarbanes-Oxley Act.		2007
773	Ethical Dilemmas in Data Mining and Warehousing.		2007
774	Ethics Education for the Online Environment.		2007
775	Computational Ethics.		2007
776	Taxonomy of Computer and Information Ethics.		2007
777	Patient Centric Healthcare InformationSystems in the U.S.		2007
778	Security of Communication and Quantum Technology.		2007
779	Individual and Institutional Responses to Staff Plagiarism.		2007
780	Pedagogical Framework for EthicalDevelopment.		2007
781	Ethics and Access to Technology for Persons with Disabilities.		2007
782	Argumentation and Computing.		2007
783	Internet Piracy and Copyright Debates.		2007
784	Traditional Knowledge and Intellectual Property.		2007
785	Mobile Agents and Security.		2007
786	Federal Information Security Law.		2007
787	Multimodal Biometric System.		2007
788	Identity Verification using Resting State Brain Signals.		2007
789	Ethical Concerns in Computer Science Projects.		2007
790	Homo Electricus and the Continued Speciation of Humans.		2007
791	Artificial Intelligence Tools for Handling Legal Evidence.		2007
792	Information Ethics as Ideology.		2007
793	Ethics and Perceptions in Online Learning Environments.		2007
794	Ethics in Software Engineering.		2007
795	Digital Divide Implications and Trends.		2007
796	Modelling Context-Aware Security for Electronic Health Records.		2007
797	Building Secure and Dependable Information Systems.		2007
798	"Information Security and the ""Privacy Broker""."		2007
799	Computer Ethics and Intelligent Technologies.		2007
800	Engineering Multi-Agent Systems.		2007
801	Mathematical Morphology.		2007
802	Logical Theories for Fragments of Elementary Geometry.		2007
803	Modal Logics of Space.		2007
804	Qualitative Spatial Reasoning Using Constraint Calculi.		2007
805	Spatial Logic + Temporal Logic = ?.		2007
806	Locales and Toposes as Spaces.		2007
807	Axioms, Algebras and Topology.		2007
808	First-Order Mereotopology.		2007
809	Topology and Epistemic Logic.		2007
810	Spatial Reasoning and Ontology: Parts, Wholes, and Locations.		2007
811	Logic of Space-Time and Relativity Theory.		2007
812	Real Algebraic Geometry and Constraint Databases.		2007
813	What is Spatial Logic?		2007
814	Dynamic Topological Logic.		2007
815	Discrete Spatial Models.		2007
816	Usability Evaluation of Digital Library.		2009
817	Semantic Association Analysis in Ontology-Based Information Retrieval.		2009
818	Standardization of Terms Applying Finite-State Transducers (FST).		2009
819	Automatic Text Summarization in Digital Libraries.		2009
820	Digital Preservation.		2009
821	A Review of Progress in Digital Library Education.		2009
822	Reference Services in Digital Environment.		2009
823	Computational Sense for Digital Librarians.		2009
824	Comparing Open Source Digital Library Software.		2009
825	Towards Multimedia Digital Libraries.		2009
826	An Empirical Analysis of the Utilization of University Digital Library Resources.		2009
827	DL and GIS.		2009
828	Duplicate Journal Title Detection in References.		2009
829	Music Information Retrieval.		2009
830	Software Process Asset Libraries Using Knowledge Repositories.		2009
831	Semantic Annotation and Retrieval of Images in Digital Libraries.		2009
832	Digital Libraries Beyond Cultural Heritage Information.		2009
833	The Role and Integration of Digital Libraries in E-Learning.		2009
834	USGS Digital Libraries for Coastal and Marine Science.		2009
835	Development of Digital Libraries in Pakistan.		2009
836	Digital Libraries as Centres of Knowledge.		2009
837	Digital Libraries as a Foundation of Spatial Data Infrastructures.		2009
838	Effective and Efficient Browsing of Large Image Databases.		2009
839	Visual Pattern Based Compressed Domain Image Retrieval.		2009
840	The Greenstone Digital Library Software.		2009
841	From Digital Archives to Virtual Exhibitions.		2009
842	The Strategic Plan of Digital Libraries.		2009
843	On the Effectiveness of Social Tagging for Resource Discovery.		2009
844	User-Adapted Information Services.		2009
845	BIVALDI the Digital Library of the Valencian Bibliographic Inheritance.		2009
846	Metadata and Metaphors in Visual Interfaces to Digital Libraries.		2009
847	Digital Library Requirements.		2009
848	New Roles of Digital Libraries.		2009
849	OpenDLib.		2009
850	Design and Development of a Taxonomy Generator.		2009
851	Visualisation of Large Image Databases.		2009
852	Using Topic-Specific Ranks to Personalize Web Search.		2009
853	Map-Based User Interfaces for Music Information Retrieval.		2009
854	The European Approach Towards Digital Library Education.		2009
855	Extracting the Essence.		2009
856	User Profiles for Personalizing Digital Libraries.		2009
857	The Future of Learning with Digital Libraries.		2009
858	Extensible Digital Library Service Platform.		2009
859	Metadata Interoperability.		2009
860	Access and Control; Digital Libraries; Information Ethics; Privacy; Security.		2009
861	Guidelines for Developing Digital Cultural Collections.		2009
862	The CGIAR Virtual Library Bridging the Gap Between Agricultural Research and Worldwide Users.		2009
863	Word Segmentation in Indo-China Languages for Digital Libraries.		2009
864	Personal Digital Libraries.		2009
865	Digital Library Service System; Digital Library System; Document Model; Grid Computing; Grid Infrastructure; Institutional Repository; Service Oriented Architecture.		2009
866	Digital Libraries Overview and Globalization.		2009
867	Digital Libraries and Ontology.		2009
868	Improving Multimedia Digital Libraries Usability Applying NLP Sentence Similarity to Multimodal Sentences.		2009
869	Handhelds for Digital Libraries.		2009
870	Speechfind.		2009
871	A Classification Scheme for Innovative Types in Scholarly Communication.		2009
872	Core Topics in Digital Library Education.		2009
873	Patent and Trade Secret in Digital Libraries.		2009
874	Ambient Intelligence Environments.		2009
875	Mobile Robots Navigation, Mapping, and Localization Part I.		2009
876	Stream Processing of a Neural Classifier I.		2009
877	Handling Fuzzy Similarity for Data Classification.		2009
878	Nelder-Mead Evolutionary Hybrid Algorithms.		2009
879	Supervised Learning of Fuzzy Logic Systems.		2009
880	State-of-the-Art on Video-Based Face Recognition.		2009
881	A Hybrid System for Automatic Infant Cry Recognition II.		2009
882	Kohonen Maps and TS Algorithms.		2009
883	EA Multi-Model Selection for SVM.		2009
884	Interactive Systems and Sources of Uncertainties.		2009
885	Harmony Search for Multiple Dam Scheduling.		2009
886	Basic Cellular Neural Networks Image Processing.		2009
887	Intelligent Software Agents Analysis in E-Commerce II.		2009
888	Complex Systems Modeling by Cellular Automata.		2009
889	Adaptive Neuro-Fuzzy Systems.		2009
890	Active Learning with SVM.		2009
891	Emerging Applications in Immersive Technologies.		2009
892	Feed-Forward Artificial Neural Network Basics.		2009
893	Decision Tree Applications for Data Modelling.		2009
894	Class Prediction in Test Sets with Shifted Distributions.		2009
895	Chaotic Neural Networks.		2009
896	Protein Structure Prediction by Fusion, Bayesian Methods.		2009
897	Multilogistic Regression by Product Units.		2009
898	Analytics for Noisy Unstructured Text A Data II.		2009
899	Visualizing Cancer Databases Using Hybrid Spaces.		2009
900	Voltage Instability Detection Using Neural Networks.		2009
901	Hierarchical Neuro-Fuzzy Systems Part II.		2009
902	Ambient Intelligence.		2009
903	Knowledge Management Systems Procedural Development.		2009
904	Biometric Security Technology.		2009
905	ve Bayes Classifier.		2009
906	Device-Level Majority von Neumann Multiplexing.		2009
907	Bio-Inspired Algorithms in Bioinformatics I.		2009
908	Fuzzy Logic Applied to Biomedical Image Analysis.		2009
909	Wave Reflection at Submerged Breakwaters.		2009
910	Hybrid Dual Camera Vision Systems.		2009
911	ANN Development with EC Tools.		2009
912	Finding Multiple Solutions with GA in Multimodal Problems.		2009
913	Intelligent Query Answering Mechanism in Multi Agent Systems.		2009
914	HOPS.		2009
915	Information Theoretic Learning.		2009
916	Algorithms for Association Rule Mining.		2009
917	Morphological Filtering Principles.		2009
918	Grammar-Guided Genetic Programming.		2009
919	Incorporating Fuzzy Logic in Data Mining Tasks.		2009
920	Modal Logics for Reasoning about Multiagent Systems.		2009
921	Genetic Algorithm Applications to Optimization Modeling.		2009
922	Neural Networks and HOS for Power Quality Evaluation.		2009
923	Evolutionary Approaches for ANNs Design.		2009
924	Swarm Intelligence Approach for Ad-Hoc Networks.		2009
925	Ranking Functions.		2009
926	Multi-Objective Evolutionary Algorithms.		2009
